id_senha,agencia,codigo_agencia,numero_balcao,tipo_servico,data_atendimento,hora_chegada,hora_atendimento,hora_fim,tempo_espera_min,tempo_atendimento_min,status_atendimento,prioridade,funcionario_id,capacidade_balcao,observacoes
SNH0012369,Viana,KXM-VIA,2,Deposito,12/03/2025,11:14,14:26,08:24,26,43,Atendido,Idoso,FUN0003,4,Falta de documentos
SNH0007361,Miramar,KXM-MIR,1,Tranferência,2025/02/22,13:43,13:46,,3,7,Desistiu,Normal,FUN0030,4,
SNH0003446,Ingombota,KXM-ING,3,Actualização de Dados,14/01/2025,09:59,10:50,,0,15,Desistiu,Normal,FUN0007,4,
SNH0018416,Miramar,KXM-MIR,4,Transferência,2025/01/18,13:45,13:53,14:12,8,19,Atendido,Normal,FUN0048,4,
SNH0013677,Rangel,KXM-RAN,1,Actualização de Dados,2025-01-04,12:54,14:49,15:05,115,16,Reagendado,Normal,FUN0028,4,Problema com o cartão
SNH0000458,Talatona,KXM-TAL,3,Transferência,20/01/2025,12:57,13:35,13:40,38,5,Atendido,Empresa,FUN0040,4,Sistema lento
SNH0016484,Rangel,KXM-RAN,4,Actualização de Dados,13/01/2025,08:56,09:25,09:59,29,34,Atendido,Normal,FUN0047,4,
SNH0012951,Viana,KXM-VIA,4,Depósito,2025-02-18,12:40,13:19,13:43,39,24,Desistiu,Normal,FUN0050,4,Cliente satisfeito
SNH0013108,Cazenga,KXM-CAZ,4,Actualização de Dados,27-01-2025,11:50,12:04,,14,35,Desistiu,Normal,FUN0014,4,
SNH0014925, Cazenga,KXM-CAZ,1,Credito,07/03/2025,13:19,15:06,15:16,107,10,Reagendado,Idoso,,4,
SNH0010417,Viana,KXM-VIA,4,Abertura de Conta,2025-03-28,12:02,12:08,12:27,6,19,Atendido,Normal,FUN0003,4,Falta de documentos
SNH0013797,Maianga,KXM-MAI,4,Transferência,27/02/2025,13:00,14:49,15:10,109,21,Desistiu,Empresa,FUN0044,4,
SNH0002158,Benfica,KXM-BEN,3,Transferência,01-03-2025,14:42,15:04,15:33,22,29,Reagendado,Normal,FUN0006,4,Falta de documentos
SNH0013334,Miramar,KXM-MIR,1,Levantamento,2025-03-26,,09:27,09:59,61,32,Atendido,Gestante,FUN0050,4,
SNH0003800,Viana,KXM-VIA,1,Crédito,2025-02-24,09:35,11:09,11:54,94,-2,Atendido,Empresa,FUN0026,4,Cliente satisfeito
SNH0003555,Maianga,KXM-MAI,2,Pagamento de Serviços,27/02/2025,09:20,10:59,11:23,99,24,Atendido,Normal,FUN0001,4,Cliente satisfeito
SNH0004901,Rangel,KXM-RAN,4,Tranferência,19/03/2025,10:55,11:41,12:26,46,45,Atendido,Normal,FUN0009,4,Problema com o cartão
SNH0000317,Benfica,KXM-BEN,4,CRÉDITO,2025-03-18,11:19,12:12,12:56,53,44,Atendido,Gestante,FUN0011,4,Cliente voltará amanhã
SNH0009057,Maianga,KXM-MAI,3,Abertura de Conta,31/03/2025,14:27,15:35,15:58,68,23,Atendido,Normal,FUN0005,4,Cliente reclamou do tempo de espera
SNH0018372,MAIANGA,KXM-MIR,4,CRÉDITO,2025-01-15,13:32,13:49,14:25,17,36,Atendido,Empresa,FUN0017,4,
SNH0006499,Ingombota,KXM-ING,2,Abertura de conta,2025-01-14,13:48,13:50,14:34,2,44,Atendido,Idoso,FUN0002,4,
SNH0006603,Rangel,KXM-RAN,2,Actualização de Dados,21/03/2025,14:56,16:11,16:52,75,41,Reagendado,Normal,FUN0042,4,Cliente voltará amanhã
SNH0018274,Kilamba ,KXM-VIA,1,Crédito,2025-03-08,13:14,13:57,14:34,43,37,Atendido,IDOSO,FUN0003,4,Falta de documentos
SNH0001085,Kilamba,KXM-KIL,1,Deposito,07/02/2025,08:32,09:16,09:44,44,28,Atendido, Normal,FUN0005,4,Atendimento prioritário solicitado
SEN-0014500,Cazenga,KXM-CAZ,1,Actualização de Dados,14-02-2025,14:59,16:09,,70,24,Atendido,Gestante,FUN0046,4,
SNH0012508,Rangel,KXM-RAN,4,Depósito,2025/02/03,14:10,15:50,16:33,100,43,Atendido,Normal,FUN0023,4,Cliente voltará amanhã
SNH0017065,Benfica,KXM-BEN,2,Crédito,31/03/2025,09:59,09:59,10:36,0,37,Atendido,Empresa,FUN0006,4,Problema com o cartão
SNH0003529,Talatona,KXM-TAL,3,Depósito ,07/01/2025,11:04,12:50,13:17,0,27,Atendido,Normal,FUN0035,4,Problema com o cartão
SNH0012016,Talatona,KXM-TAL,1,Actualização de Dados,2025-02-07,08:58,10:34,11:07,96,33,Atendido,Normal,FUN0008,4,Cliente voltará amanhã
SNH0013088,Kilamba,KXM-KIL,2,Crédito,22/01/2025,,13:04,13:38,76,34,Atendido,Gestante,FUN0030,4,Cliente voltará amanhã
SNH0016479,Benfica,KXM-BEN,3,Deposito,2025-01-14,14:11,14:58,15:19,0,21,Reagendado,Normal,FUN0046,4,
SNH0006024,Ingombota,KXM-ING,1,,2025/01/20,14:30,15:25,15:36,-24,-16,Atendido,Empresa,FUN0022,4,Problema com o cartão
SNH0018817,Kilamba,KXM-KIL,4,Depósito,2025-03-31,11:42,12:38,08:14,1,29,Atendido,Normal,FUN0004,4,Cliente satisfeito
SNH0016010,Miramar,KXM-MIR,2,Levantamento,03/01/2025,14:46,16:31,,105,30,Atendido,Idoso,FUN0012,4,Impressora com falha
SNH0001453,Talatona,KXM-TAL,4,Tranferência,2025-01-30,09:11,09:24,09:52,13,28,Atendido,Normal,FUN0022,4,Cliente satisfeito
SNH0019202,Samba,KXM-SAM,4,Depósito,13/01/2025,14:07,14:31,14:35,24,4,Atendido,Normal,FUN0043,4,Cliente reclamou do tempo de espera
SNH0002911,Samba,KXM-SAM,1,Actualização de Dados,24-01-2025,09:31,11:28,,117,12,Desistiu,Empresa,FUN0043,4,
SNH0008597,Cazenga,KXM-CAZ,1,Depósito,15/02/2025,10:14,11:39,12:14,85,35,Atendido,Gestante,FUN0008,4,Sistema lento
SNH0005981,Cazenga,KXM-CAZ,2,Abertura de conta,08-01-2025,13:39,15:08,15:23,89,15,Reagendado,Normal,FUN0034,4,Atendimento prioritário solicitado
SNH0000945,Ingombota,KXM-ING,2,Depósito,18-01-2025,13:26,15:17,15:40,111,23,Atendido,Normal,FUN0038,4,Cliente reclamou do tempo de espera
SNH0000049,Viana,KXM-VIA,3,pagamento de serviços,04/01/2025,08:58,10:33,10:40,95,7,Atendido,Gestante,FUN0033,4,Cliente voltará amanhã
SNH0013596,Cazenga,KXM-CAZ,4,Depósito,04-02-2025,13:50,15:32,15:46,102,14,Desistiu,Normal,FUN0034,4,
SNH0002417,Kilamba,KXM-KIL,3,CRÉDITO,10/02/2025,13:22,14:09,14:41,47,32,Atendido,Idoso,FUN0006,4,
SNH0016094,Cazenga,KXM-CAZ,2,Actualização de Dados,2025-02-15,13:12,13:23,,11,43,Desistiu,Normal,FUN0007,4,Cliente reclamou do tempo de espera
SNH0006213,Kilamba,KXM-KIL,1,Crédito,19/03/2025,12:07,13:22,13:58,75,36,Atendido,Normal,FUN0014,4,Sistema lento
SNH0011384,Miramar,KXM-MIR,3,Pagamento de Serviços,27/01/2025,11:13,13:01,13:38,108,37,Reagendado,Empresa,FUN0009,4,Impressora com falha
SNH0011909,Samba,KXM-SAM,1,Actualização de Dados,29/03/2025,12:46,14:18,14:52,-21,34,Atendido,IDOSO,FUN0032,4,Problema com o cartão
